,Node_1,Node_2
0,ENSG00000000003,TSPAN6
1,ENSG00000000419,DPM1
2,ENSG00000000457,SCYL3
3,ENSG00000000460,C1orf112
4,ENSG00000000938,FGR
5,ENSG00000000971,CFH
6,ENSG00000001036,FUCA2
7,ENSG00000001084,GCLC
8,ENSG00000001167,NFYA
9,ENSG00000001460,STPG1
10,ENSG00000001461,NIPAL3
11,ENSG00000001497,LAS1L
12,ENSG00000001561,ENPP4
13,ENSG00000001617,SEMA3F
14,ENSG00000001629,ANKIB1
15,ENSG00000001630,CYP51A1
16,ENSG00000001631,KRIT1
17,ENSG00000002016,RAD52
18,ENSG00000002330,BAD
19,ENSG00000002549,LAP3
20,ENSG00000002586,CD99
21,ENSG00000002587,HS3ST1
22,ENSG00000002726,AOC1
23,ENSG00000002822,MAD1L1
24,ENSG00000002834,LASP1
25,ENSG00000002919,SNX11
26,ENSG00000002933,TMEM176A
27,ENSG00000003056,M6PR
28,ENSG00000003096,KLHL13
29,ENSG00000003147,ICA1
30,ENSG00000003249,DBNDD1
31,ENSG00000003393,ALS2
32,ENSG00000003400,CASP10
33,ENSG00000003402,CFLAR
34,ENSG00000003436,TFPI
35,ENSG00000003509,NDUFAF7
36,ENSG00000003756,RBM5
37,ENSG00000003987,MTMR7
38,ENSG00000003989,SLC7A2
39,ENSG00000004059,ARF5
40,ENSG00000004139,SARM1
41,ENSG00000004142,POLDIP2
42,ENSG00000004399,PLXND1
43,ENSG00000004455,AK2
44,ENSG00000004468,CD38
45,ENSG00000004478,FKBP4
46,ENSG00000004487,KDM1A
47,ENSG00000004534,RBM6
48,ENSG00000004660,CAMKK1
49,ENSG00000004700,RECQL
50,ENSG00000004766,CCDC132
51,ENSG00000004776,HSPB6
52,ENSG00000004777,ARHGAP33
53,ENSG00000004779,NDUFAB1
54,ENSG00000004799,PDK4
55,ENSG00000004809,SLC22A16
56,ENSG00000004838,ZMYND10
57,ENSG00000004864,SLC25A13
58,ENSG00000004866,ST7
59,ENSG00000004897,CDC27
60,ENSG00000004939,SLC4A1
61,ENSG00000004961,HCCS
62,ENSG00000004975,DVL2
63,ENSG00000005007,UPF1
64,ENSG00000005020,SKAP2
65,ENSG00000005022,SLC25A5
66,ENSG00000005059,CCDC109B
67,ENSG00000005073,HOXA11
68,ENSG00000005075,POLR2J
69,ENSG00000005100,DHX33
70,ENSG00000005102,MEOX1
71,ENSG00000005108,THSD7A
72,ENSG00000005156,LIG3
73,ENSG00000005175,RPAP3
74,ENSG00000005187,ACSM3
75,ENSG00000005189,AC004381.6
76,ENSG00000005194,CIAPIN1
77,ENSG00000005206,SPPL2B
78,ENSG00000005238,FAM214B
79,ENSG00000005243,COPZ2
80,ENSG00000005249,PRKAR2B
81,ENSG00000005302,MSL3
82,ENSG00000005339,CREBBP
83,ENSG00000005379,BZRAP1
84,ENSG00000005381,MPO
85,ENSG00000005436,GCFC2
86,ENSG00000005448,WDR54
87,ENSG00000005469,CROT
88,ENSG00000005471,ABCB4
89,ENSG00000005483,KMT2E
90,ENSG00000005486,RHBDD2
91,ENSG00000005513,SOX8
92,ENSG00000005700,IBTK
93,ENSG00000005801,ZNF195
94,ENSG00000005810,MYCBP2
95,ENSG00000005812,FBXL3
96,ENSG00000005844,ITGAL
97,ENSG00000005882,PDK2
98,ENSG00000005884,ITGA3
