,Drug,Gene,Symbol,coef,Method,Dataset
0,CYT387,ENSG00000038382,TRIO,-0.00607076274943111,Lasso,BeatAML
1,CYT387,ENSG00000042980,ADAM28,-0.008872085363257938,Lasso,BeatAML
2,CYT387,ENSG00000100139,MICALL1,0.03786911700300848,Lasso,BeatAML
3,CYT387,ENSG00000102805,CLN5,0.06681409065546731,Lasso,BeatAML
4,CYT387,ENSG00000106799,TGFBR1,0.0031027039005411747,Lasso,BeatAML
5,CYT387,ENSG00000108578,BLMH,-0.01334777725806182,Lasso,BeatAML
6,CYT387,ENSG00000118785,SPP1,0.04964181814896723,Lasso,BeatAML
7,CYT387,ENSG00000131378,RFTN1,-0.013800522612415028,Lasso,BeatAML
8,CYT387,ENSG00000135108,FBXO21,0.007051940758387622,Lasso,BeatAML
9,CYT387,ENSG00000135845,PIGC,0.020789792100212236,Lasso,BeatAML
10,CYT387,ENSG00000140682,TGFB1I1,0.03695895763144724,Lasso,BeatAML
11,CYT387,ENSG00000145730,PAM,0.03951660329058432,Lasso,BeatAML
12,CYT387,ENSG00000147140,NONO,-0.00264455188379132,Lasso,BeatAML
13,CYT387,ENSG00000148334,PTGES2,-0.006355840977178081,Lasso,BeatAML
14,CYT387,ENSG00000152518,ZFP36L2,0.033817955461231064,Lasso,BeatAML
15,CYT387,ENSG00000154153,FAM134B,0.048381746159788123,Lasso,BeatAML
16,CYT387,ENSG00000155016,CYP2U1,0.01249725231010626,Lasso,BeatAML
17,CYT387,ENSG00000155749,ALS2CR12,-0.007586536029434682,Lasso,BeatAML
18,CYT387,ENSG00000158406,HIST1H4H,0.04674568630306979,Lasso,BeatAML
19,CYT387,ENSG00000161847,RAVER1,-0.01462877782607331,Lasso,BeatAML
20,CYT387,ENSG00000162599,NFIA,0.03169502450533202,Lasso,BeatAML
21,CYT387,ENSG00000162817,C1orf115,0.03274343844296317,Lasso,BeatAML
22,CYT387,ENSG00000166343,MSS51,-0.018203469332052694,Lasso,BeatAML
23,CYT387,ENSG00000166847,DCTN5,0.01807797476224904,Lasso,BeatAML
24,CYT387,ENSG00000168118,RAB4A,-0.010076216581104233,Lasso,BeatAML
25,CYT387,ENSG00000171302,CANT1,0.05948337917055521,Lasso,BeatAML
26,CYT387,ENSG00000171840,NINJ2,0.03258163858319256,Lasso,BeatAML
27,CYT387,ENSG00000177406,RP11-218M22.1,0.018314273246696378,Lasso,BeatAML
28,CYT387,ENSG00000180071,ANKRD18A,0.005565488898795503,Lasso,BeatAML
29,CYT387,ENSG00000182544,MFSD5,0.005574844493963996,Lasso,BeatAML
30,CYT387,ENSG00000182853,VMO1,-0.0043927854403405225,Lasso,BeatAML
31,CYT387,ENSG00000183258,DDX41,-0.016691075062779608,Lasso,BeatAML
32,CYT387,ENSG00000186235,AC016757.3,-0.010677734060924718,Lasso,BeatAML
33,CYT387,ENSG00000197566,ZNF624,0.013274741203042145,Lasso,BeatAML
34,CYT387,ENSG00000197872,FAM49A,-0.11194756913142664,Lasso,BeatAML
35,CYT387,ENSG00000198478,SH3BGRL2,0.0342243686055769,Lasso,BeatAML
36,CYT387,ENSG00000198804,MT-CO1,-0.06685962275396806,Lasso,BeatAML
37,CYT387,ENSG00000200879,SNORD14E,-0.00930329922742417,Lasso,BeatAML
38,CYT387,ENSG00000204161,C10orf128,-0.11211069295139502,Lasso,BeatAML
39,CYT387,ENSG00000210156,MT-TK,0.016173447845883895,Lasso,BeatAML
40,CYT387,ENSG00000213626,LBH,0.03515519652447371,Lasso,BeatAML
41,CYT387,ENSG00000215102,TERF1P4,0.050463631904851675,Lasso,BeatAML
42,CYT387,ENSG00000218537,AP000350.4,-0.0386549469140992,Lasso,BeatAML
43,CYT387,ENSG00000221926,TRIM16,-0.01953663711909871,Lasso,BeatAML
44,CYT387,ENSG00000226210,ABC7-42389800N19.1,-0.011945580408497903,Lasso,BeatAML
45,CYT387,ENSG00000227403,AC009299.3,0.0070340896322592175,Lasso,BeatAML
46,CYT387,ENSG00000228253,MT-ATP8,-4.932114637482461e-05,Lasso,BeatAML
47,CYT387,ENSG00000228668,TRGV5P,-0.03282485930929685,Lasso,BeatAML
48,CYT387,ENSG00000229133,RPS7P4,0.008347666910788703,Lasso,BeatAML
49,CYT387,ENSG00000232320,AC009299.5,0.03431232770241196,Lasso,BeatAML
50,CYT387,ENSG00000235290,HLA-W,0.012422804152575542,Lasso,BeatAML
51,CYT387,ENSG00000235878,AP001468.1,-0.007145091021289971,Lasso,BeatAML
52,CYT387,ENSG00000237039,AC018738.2,-0.0030373904528238527,Lasso,BeatAML
53,CYT387,ENSG00000241294,IGKV2-24,-0.013010366692307828,Lasso,BeatAML
54,CYT387,ENSG00000245970,KB-1208A12.3,-0.010204566847094268,Lasso,BeatAML
55,CYT387,ENSG00000249042,CTD-2015H6.3,0.0011037158790559941,Lasso,BeatAML
56,CYT387,ENSG00000257702,LBX2-AS1,0.012332089867955264,Lasso,BeatAML
57,CYT387,ENSG00000258704,RP11-85K15.2,-0.0011321623440642907,Lasso,BeatAML
58,CYT387,ENSG00000260075,NSFP1,-0.00015828253448938636,Lasso,BeatAML
59,CYT387,ENSG00000267383,CTC-260E6.6,-0.0147543821665295,Lasso,BeatAML
60,CYT387,ENSG00000268049,CTD-2619J13.9,0.014616539556263795,Lasso,BeatAML
61,CYT387,ENSG00000268578,AL354718.1,0.013725640062452254,Lasso,BeatAML
62,CYT387,CYT387_RSS,CYT387_RSS,160.284094428535,Lasso,BeatAML
63,CYT387,CYT387_intercept,CYT387_intercept,0.03283979894116926,Lasso,BeatAML
64,PP242,ENSG00000012223,LTF,0.01071932142031053,Lasso,BeatAML
65,PP242,ENSG00000015133,CCDC88C,-0.0032775343580321273,Lasso,BeatAML
66,PP242,ENSG00000054983,GALC,0.014813594748281042,Lasso,BeatAML
67,PP242,ENSG00000065518,NDUFB4,-0.01211478057205888,Lasso,BeatAML
68,PP242,ENSG00000074855,ANO8,-0.028610431112882452,Lasso,BeatAML
69,PP242,ENSG00000083812,ZNF324,0.01965301124948316,Lasso,BeatAML
70,PP242,ENSG00000086548,CEACAM6,0.047749148985891075,Lasso,BeatAML
71,PP242,ENSG00000100079,LGALS2,-0.014620098191254843,Lasso,BeatAML
72,PP242,ENSG00000100106,TRIOBP,0.0561757028403529,Lasso,BeatAML
73,PP242,ENSG00000105669,COPE,-0.028788801552657887,Lasso,BeatAML
74,PP242,ENSG00000117691,NENF,0.041227835613946696,Lasso,BeatAML
75,PP242,ENSG00000118785,SPP1,0.10877961865486868,Lasso,BeatAML
76,PP242,ENSG00000120833,SOCS2,-0.003292214698885633,Lasso,BeatAML
77,PP242,ENSG00000122642,FKBP9,0.03525268709765291,Lasso,BeatAML
78,PP242,ENSG00000124491,F13A1,-0.009607134888317803,Lasso,BeatAML
79,PP242,ENSG00000129911,KLF16,0.025428971493369788,Lasso,BeatAML
80,PP242,ENSG00000135636,DYSF,0.004477824823256796,Lasso,BeatAML
81,PP242,ENSG00000136960,ENPP2,-0.014535832029115955,Lasso,BeatAML
82,PP242,ENSG00000139197,PEX5,0.04611868065862809,Lasso,BeatAML
83,PP242,ENSG00000143436,MRPL9,-0.015402354353254762,Lasso,BeatAML
84,PP242,ENSG00000144567,FAM134A,0.005981270117920194,Lasso,BeatAML
85,PP242,ENSG00000145730,PAM,0.008304495129081406,Lasso,BeatAML
86,PP242,ENSG00000146109,ABT1,0.0014483085352072888,Lasso,BeatAML
87,PP242,ENSG00000147044,CASK,0.019929796352673536,Lasso,BeatAML
88,PP242,ENSG00000150347,ARID5B,-0.026805807400070946,Lasso,BeatAML
89,PP242,ENSG00000152684,PELO,0.020232055090372656,Lasso,BeatAML
90,PP242,ENSG00000152784,PRDM8,-0.0423771604001067,Lasso,BeatAML
91,PP242,ENSG00000153560,UBP1,-0.0035240189249695713,Lasso,BeatAML
92,PP242,ENSG00000164125,FAM198B,-0.006825719795776016,Lasso,BeatAML
93,PP242,ENSG00000164733,CTSB,-0.013128070422080383,Lasso,BeatAML
94,PP242,ENSG00000167173,C15orf39,0.02044803544899209,Lasso,BeatAML
95,PP242,ENSG00000174109,C16orf91,0.024247103525158104,Lasso,BeatAML
96,PP242,ENSG00000174944,P2RY14,-0.0015442299003441138,Lasso,BeatAML
97,PP242,ENSG00000177406,RP11-218M22.1,0.00682722028315679,Lasso,BeatAML
98,PP242,ENSG00000182118,FAM89A,-0.0008498899929682292,Lasso,BeatAML
99,PP242,ENSG00000182606,TRAK1,0.01637145589283535,Lasso,BeatAML
100,PP242,ENSG00000185842,DNAH14,0.033620938655080895,Lasso,BeatAML
101,PP242,ENSG00000186265,BTLA,-0.014608784555800825,Lasso,BeatAML
102,PP242,ENSG00000188234,AGAP4,-0.005913194146638028,Lasso,BeatAML
103,PP242,ENSG00000198001,IRAK4,-0.0006761506387653383,Lasso,BeatAML
104,PP242,ENSG00000204161,C10orf128,-0.03726509433682335,Lasso,BeatAML
105,PP242,ENSG00000218902,PTMAP3,-0.011258154340457014,Lasso,BeatAML
106,PP242,ENSG00000225793,RP1-234P15.4,0.035978461940046176,Lasso,BeatAML
107,PP242,ENSG00000226085,UQCRFS1P1,0.02077100236891701,Lasso,BeatAML
108,PP242,ENSG00000226479,TMEM185B,0.053666518626441694,Lasso,BeatAML
109,PP242,ENSG00000230099,TRBV5-4,-0.009153861813550794,Lasso,BeatAML
110,PP242,ENSG00000231027,AC079325.6,-0.027306968931427648,Lasso,BeatAML
111,PP242,ENSG00000232260,BTF3L4P1,0.029421379168510838,Lasso,BeatAML
112,PP242,ENSG00000243663,RPS4XP14,0.02145587418459464,Lasso,BeatAML
113,PP242,ENSG00000249274,PDLIM1P4,-0.003081327387343326,Lasso,BeatAML
